,precision,recall,f1-score,support
0,0.875,1.0,0.9333333333333333,7.0
1,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
2,0.6666666666666666,1.0,0.8,6.0
3,0.9,1.0,0.9473684210526315,9.0
4,1.0,1.0,1.0,9.0
5,0.9,1.0,0.9473684210526315,9.0
6,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
7,1.0,0.8571428571428571,0.9230769230769231,7.0
8,1.0,1.0,1.0,8.0
9,1.0,0.7777777777777778,0.875,9.0
10,1.0,0.8888888888888888,0.9411764705882353,9.0
11,1.0,1.0,1.0,6.0
12,1.0,0.875,0.9333333333333333,8.0
13,1.0,1.0,1.0,9.0
14,1.0,1.0,1.0,7.0
15,1.0,0.9090909090909091,0.9523809523809523,11.0
16,1.0,0.9,0.9473684210526315,10.0
17,1.0,1.0,1.0,8.0
18,1.0,0.8,0.8888888888888888,10.0
19,0.8333333333333334,1.0,0.9090909090909091,10.0
20,0.75,0.375,0.5,8.0
21,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
22,0.8888888888888888,1.0,0.9411764705882353,8.0
23,0.8888888888888888,1.0,0.9411764705882353,8.0
24,1.0,1.0,1.0,8.0
25,1.0,1.0,1.0,7.0
26,1.0,1.0,1.0,9.0
27,1.0,1.0,1.0,10.0
28,1.0,0.6666666666666666,0.8,6.0
29,1.0,1.0,1.0,8.0
30,1.0,0.9090909090909091,0.9523809523809523,11.0
31,0.875,0.875,0.875,8.0
32,1.0,0.8571428571428571,0.9230769230769231,7.0
33,1.0,0.8888888888888888,0.9411764705882353,9.0
34,1.0,1.0,1.0,11.0
35,1.0,1.0,1.0,10.0
36,1.0,1.0,1.0,10.0
37,1.0,0.9,0.9473684210526315,10.0
38,0.9,0.9,0.9,10.0
39,1.0,1.0,1.0,9.0
40,0.9,1.0,0.9473684210526315,9.0
41,1.0,0.9,0.9473684210526315,10.0
42,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
43,0.9090909090909091,1.0,0.9523809523809523,10.0
44,1.0,1.0,1.0,10.0
45,1.0,1.0,1.0,10.0
46,0.75,0.9,0.8181818181818182,10.0
47,0.8333333333333334,1.0,0.9090909090909091,10.0
48,0.8888888888888888,1.0,0.9411764705882353,8.0
49,0.7272727272727273,0.8888888888888888,0.8,9.0
50,0.9,1.0,0.9473684210526315,9.0
51,0.9,0.9,0.9,10.0
52,0.9,0.9,0.9,10.0
53,1.0,0.8,0.8888888888888888,10.0
54,1.0,1.0,1.0,10.0
55,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
56,0.9090909090909091,1.0,0.9523809523809523,10.0
57,0.8,1.0,0.8888888888888888,8.0
58,0.9090909090909091,1.0,0.9523809523809523,10.0
59,1.0,0.9090909090909091,0.9523809523809523,11.0
60,0.9,0.9,0.9,10.0
61,0.7142857142857143,1.0,0.8333333333333334,10.0
62,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
63,0.7777777777777778,0.7,0.7368421052631579,10.0
64,0.9,0.9,0.9,10.0
65,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
66,1.0,0.7,0.8235294117647058,10.0
67,1.0,1.0,1.0,10.0
68,0.7692307692307693,1.0,0.8695652173913043,10.0
69,1.0,0.9090909090909091,0.9523809523809523,11.0
70,1.0,1.0,1.0,10.0
71,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
72,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
73,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
74,0.9,1.0,0.9473684210526315,9.0
75,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
76,0.8888888888888888,0.8,0.8421052631578947,10.0
77,0.9,1.0,0.9473684210526315,9.0
78,0.7857142857142857,1.0,0.88,11.0
79,0.5,0.6666666666666666,0.5714285714285714,6.0
80,1.0,1.0,1.0,6.0
81,0.9166666666666666,1.0,0.9565217391304348,11.0
82,1.0,0.7272727272727273,0.8421052631578947,11.0
83,0.9166666666666666,1.0,0.9565217391304348,11.0
84,1.0,0.7777777777777778,0.875,9.0
85,1.0,1.0,1.0,9.0
86,1.0,0.6666666666666666,0.8,9.0
87,1.0,1.0,1.0,11.0
88,0.7333333333333333,1.0,0.8461538461538461,11.0
89,1.0,0.8888888888888888,0.9411764705882353,9.0
90,1.0,1.0,1.0,11.0
91,1.0,0.8888888888888888,0.9411764705882353,9.0
92,1.0,1.0,1.0,11.0
93,1.0,1.0,1.0,9.0
94,1.0,1.0,1.0,9.0
95,1.0,0.6666666666666666,0.8,9.0
96,0.8333333333333334,1.0,0.9090909090909091,10.0
97,1.0,0.8888888888888888,0.9411764705882353,9.0
98,0.6363636363636364,0.875,0.7368421052631579,8.0
99,1.0,0.6666666666666666,0.8,9.0
100,0.7777777777777778,0.875,0.8235294117647058,8.0
101,1.0,1.0,1.0,10.0
102,1.0,0.9230769230769231,0.96,13.0
103,1.0,0.8888888888888888,0.9411764705882353,9.0
104,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
105,1.0,0.1,0.18181818181818182,10.0
106,0.4375,1.0,0.6086956521739131,7.0
107,0.75,1.0,0.8571428571428571,9.0
108,1.0,1.0,1.0,10.0
109,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
110,1.0,1.0,1.0,8.0
111,0.8461538461538461,1.0,0.9166666666666666,11.0
112,0.75,0.9,0.8181818181818182,10.0
113,1.0,0.4444444444444444,0.6153846153846154,9.0
114,0.9,1.0,0.9473684210526315,9.0
115,1.0,0.9,0.9473684210526315,10.0
116,1.0,0.8888888888888888,0.9411764705882353,9.0
117,0.9090909090909091,1.0,0.9523809523809523,10.0
118,1.0,0.7777777777777778,0.875,9.0
119,0.9230769230769231,1.0,0.96,12.0
120,1.0,0.9,0.9473684210526315,10.0
121,1.0,1.0,1.0,10.0
122,0.7,0.7,0.7,10.0
123,1.0,1.0,1.0,10.0
124,1.0,1.0,1.0,10.0
125,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
126,0.8461538461538461,0.9166666666666666,0.88,12.0
127,1.0,0.7272727272727273,0.8421052631578947,11.0
128,0.8888888888888888,0.7272727272727273,0.8,11.0
129,1.0,0.9,0.9473684210526315,10.0
130,1.0,1.0,1.0,10.0
131,1.0,1.0,1.0,11.0
132,1.0,0.8181818181818182,0.9,11.0
133,0.9,1.0,0.9473684210526315,9.0
134,0.9,0.9,0.9,10.0
135,1.0,1.0,1.0,12.0
136,1.0,1.0,1.0,11.0
137,1.0,1.0,1.0,10.0
138,0.9090909090909091,0.7142857142857143,0.8,14.0
139,1.0,1.0,1.0,10.0
140,1.0,0.9166666666666666,0.9565217391304348,12.0
141,1.0,1.0,1.0,11.0
142,1.0,1.0,1.0,10.0
143,0.8181818181818182,0.9,0.8571428571428571,10.0
144,1.0,0.9,0.9473684210526315,10.0
145,0.9,1.0,0.9473684210526315,9.0
146,1.0,1.0,1.0,10.0
147,1.0,0.9166666666666666,0.9565217391304348,12.0
148,1.0,1.0,1.0,11.0
149,1.0,1.0,1.0,8.0
accuracy,0.913986013986014,0.913986013986014,0.913986013986014,0.913986013986014
macro avg,0.9246921874421874,0.9132257557257558,0.9097769622260402,1430.0
weighted avg,0.9277394895314476,0.913986013986014,0.9120168363361938,1430.0
